"Timestamp","Which best describes where you live?","Your age bracket","Have you added an item to your wishlist/cart on Myntra in the last 3 months without buying it?","Roughly how many items are sitting in your Myntra wishlist right now?","Think of the wishlist item you MOST wanted but still have not bought. What is the main reason?","Besides what you picked above, is there any OTHER reason, even a small one, that has kept you from buying wishlist items?","Has Myntra ever done something that made you MORE likely to finally buy a wishlisted item - a notification, a discount, a reminder? What was it?","In the last 3 months, what share of your wishlist items did you actually end up buying?","Which category do most of your unbought wishlist items fall into?","How often do you shop on Myntra?","Would you be open to a 10-minute follow-up interview?","If yes, leave your email (optional)","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [A size predictor showing ""94% of buyers your size kept true-to-size""]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [Free, guaranteed doorstep return pickup, shown before you add to cart]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [A price-drop alert you can turn on per item]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [A ""verified authentic"" badge with a material/quality breakdown]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [A one-tap ""ask 3 friends what they think"" share-to-decide feature]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [A ""top 3 by fit-confidence"" digest notification from your wishlist]","Rate how much each of these would change your likelihood of buying a wishlisted item you are currently unsure about. [Seeing 3 real customer photos wearing the item in your exact size]","Of the options above, pick the ONE that would make the biggest difference for you.","If Myntra guaranteed hassle-free, instant-refund returns, would you pay a small non-refundable fee (e.g. Rs 20) to unlock guaranteed next-day delivery on that item?","Imagine the wishlist item you are most unsure about right now. What is the ONE specific thing that would need to be true for you to buy it today?"
"2026/08/29 6:16:53 PM GMT+5:30","Metro (Delhi NCR, Mumbai, Bengaluru, Chennai, Kolkata, Hyderabad, Pune)","25-34","Yes","6-15","I am not sure it will fit me right","Sometimes the color looks different in photos than in real life, so I hold off.","A price-drop notification once got me to finally buy a jacket I had wishlisted for a month.","Less than a quarter","Clothing","Monthly","No","","5 - Would buy almost immediately","3","2","3","2","4","5 - Would buy almost immediately","Size predictor","Depends on the item","If I could see how it fits someone with my exact height and weight, I would buy it right away."
"2026/08/29 6:17:38 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","18-24","Yes","16-30","I am waiting for a sale/price drop","Also worried delivery might get delayed like it did last time I ordered something on sale.","Got a coupon code by email once and bought two items immediately.","About half","Footwear","A few times a year","No","","2","4","5 - Would buy almost immediately","2","2","3","3","Price-drop alert","No","If the price dropped even by 10-15 percent, I would buy it without thinking twice."
"2026/08/29 6:26:48 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","35-44","Yes","30+","I do not trust the return/refund process enough to risk it","Once had a refund take three weeks, so now I hesitate on anything I might need to return.","Free next-day delivery on a sale item pushed me to finally buy a pair of shoes.","None","Footwear","Weekly or more","No","","2","5 - Would buy almost immediately","3","3","1 - No change","2","3","Guaranteed free return pickup","Yes","If returns were guaranteed hassle-free with pickup at my door, I would stop hesitating."
"2026/08/29 6:43:22 PM GMT+5:30","Metro (Delhi NCR, Mumbai, Bengaluru, Chennai, Kolkata, Hyderabad, Pune)","18-24","Yes","16-30","I am not sure it will fit me right","Sizes vary a lot between brands, so I never feel fully sure.","A detailed size chart once got me to finally buy jeans.","Less than a quarter","Footwear","Monthly","No","","5 - Would buy almost immediately","2","2","3","2","4","5 - Would buy almost immediately","Size predictor","Depends on the item","Seeing exact measurements matched to my body type would seal it."
"2026/08/29 6:46:25 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","35-44","Yes","","I do not trust the return/refund process enough to risk it","A friend had a refund delayed for weeks, so I stay cautious.","Free pickup for a return last time made me trust the process more.","None","Accessories","Weekly or more","No","","2","5 - Would buy almost immediately","3","3","1 - No change","2","3","Guaranteed free return pickup","Yes","A guaranteed pickup date for returns would remove my hesitation."
"2026/08/29 6:48:21 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","18-24","Yes","16-30","I am waiting for a sale/price drop","I usually check three or four times before a big sale.","A flash sale notification once got me to buy within the hour.","About half","Clothing","A few times a year","No","","2","3","5 - Would buy almost immediately","2","2","3","2","Price-drop alert","No","Even a small price drop notification would push me to buy."
"2026/08/29 6:51:02 PM GMT+5:30","Tier 3 / rural / other","18-24","Yes","30+","I added it just to save the look/style for later, not to buy it","I mostly use my wishlist to plan outfits for later.","Seeing it styled in a video once nearly convinced me to buy.","Less than a quarter","Beauty & personal care","Monthly","No","","1 - No change","1 - No change","2","1 - No change","4","2","3","Ask-friends share feature","No","If I could share the look with a friend easily, I might commit."
"2026/08/29 6:52:20 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","25-34","Yes","16-30","I have too many similar options saved and cannot decide","I have several similar tops saved and cannot pick one.","A comparison view once helped me narrow down two jackets.","About half","Clothing","Monthly","No","","2","2","2","2","3","5 - Would buy almost immediately","2","Fit-confidence digest","Depends on the item","A quick way to compare my saved similar items would help most."
"2026/08/29 6:53:48 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","35-44","Yes","6-15","I am waiting to see reviews/someone else opinion first","I like to see what other buyers with my body type say.","A friend's recommendation once got me to buy immediately.","Less than a quarter","Footwear","A few times a year","No","","2","2","2","3","5 - Would buy almost immediately","3","3","Ask-friends share feature","Only for items over a certain price","More opinions from people similar to me would help me decide."
"2026/08/29 6:56:24 PM GMT+5:30","Tier 3 / rural / other","25-34","Yes","16-30","I am unsure about the quality or if it is authentic","I worry generic-looking listings might not be genuine.","A clear material breakdown once reassured me enough to buy.","Less than a quarter","Beauty & personal care","A few times a year","No","","1 - No change","3","2","5 - Would buy almost immediately","3","1 - No change","4","Verified authentic badge","Only for items over a certain price","Clear proof of authenticity and material quality would convince me."
"2026/08/29 6:57:54 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","18-24","Yes","0-5","I am not sure it will fit me right","Every brand seems to size a bit differently, which is confusing.","A fit-confidence tag on a similar shirt once helped me decide.","About half","Clothing","Weekly or more","No","","4","3","2","2","2","3","5 - Would buy almost immediately","Real customer photos in my size","Depends on the item","Real photos of someone my size wearing it would settle my doubt."
"2026/08/29 6:59:28 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","45+","Yes","6-15","I do not trust the return/refund process enough to risk it","Past exchanges took longer than promised, so I hold back now.","A same-day pickup for a return once won back my trust.","Less than a quarter","Home","A few times a year","No","","1 - No change","5 - Would buy almost immediately","2","2","1 - No change","2","2","Guaranteed free return pickup","Yes","A confirmed pickup window for returns would settle my worry."
"2026/08/29 7:00:55 PM GMT+5:30","Tier 3 / rural / other","35-44","Yes","30+","I am waiting for a sale/price drop","Big sales happen often enough that waiting feels worth it.","A coupon reminder near the sale end pushed me to check out.","Most","Footwear","Monthly","No","","2","2","5 - Would buy almost immediately","1 - No change","1 - No change","2","2","Price-drop alert","No","A direct alert the moment the price actually drops would do it."
"2026/08/29 7:03:31 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","Under 18","Yes","6-15","I added it just to save the look/style for later, not to buy it","I save things to build an outfit idea, not always to buy them.","Seeing similar pieces bundled as a look convinced me to buy one.","Less than a quarter","Accessories","A few times a year","No","","1 - No change","2","2","1 - No change","4","2","3","Ask-friends share feature","No","Seeing it as part of a full styled look would push me to buy it."
"2026/08/29 7:05:01 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","18-24","Yes","30+","I have too many similar options saved and cannot decide","I keep three or four similar bags saved and never pick just one.","A quick side-by-side comparison once helped me finally choose.","Less than a quarter","Accessories","A few times a year","No","","1 - No change","2","2","2","3","4","2","Fit-confidence digest","Depends on the item","Narrowing my saved options down to a clear top pick would help."
"2026/08/29 7:06:20 PM GMT+5:30","Tier 3 / rural / other","45+","Yes","0-5","I am waiting to see reviews/someone else opinion first","At my age I like a second opinion before spending on anything new.","My daughter vouching for a product once got me to buy it same day.","About half","Home","Monthly","No","","1 - No change","3","2","3","5 - Would buy almost immediately","2","2","Ask-friends share feature","Depends on the item","Hearing from someone I trust that it is worth it would decide it."
"2026/08/29 7:08:00 PM GMT+5:30","Metro (Delhi NCR, Mumbai, Bengaluru, Chennai, Kolkata, Hyderabad, Pune)","35-44","Yes","Not sure","I was about to buy it but backed out at checkout","The payment page glitched once and I just gave up on the order.","A saved-cart reminder the next day got me to finish the purchase.","Less than a quarter","Clothing","A few times a year","No","","1 - No change","2","3","1 - No change","1 - No change","3","2","Price-drop alert","No","A smoother, glitch-free checkout would have gotten me to finish."
"2026/08/29 7:09:19 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","25-34","Yes","6-15","I am unsure about the quality or if it is authentic","Photos on the listing sometimes look edited or too polished to trust.","A close-up fabric video on the listing once convinced me it was real.","None","Footwear","First-time user","No","","2","3","1 - No change","5 - Would buy almost immediately","2","1 - No change","4","Verified authentic badge","No","Independent proof the material is what it claims would convince me."
"2026/08/29 7:12:02 PM GMT+5:30","Tier 3 / rural / other","18-24","Yes","0-5","I do not trust the return/refund process enough to risk it","Living far from a courier hub, pickups for returns are unreliable here.","A confirmed pickup slot by text message once got me to finally order.","None","Footwear","A few times a year","No","","2","5 - Would buy almost immediately","2","2","1 - No change","2","2","Guaranteed free return pickup","Yes","A reliable, confirmed pickup for returns in my area would fix it."
"2026/08/29 7:13:44 PM GMT+5:30","Tier 1 (e.g. Ahmedabad, Jaipur, Lucknow, Chandigarh, Kochi)","35-44","Yes","6-15","I added it on impulse and do not really intend to buy it","Late-night scrolling is when most of my impulse adds happen.","A same-day-only offer once got me to check out on impulse.","Less than a quarter","Beauty & personal care","Monthly","No","","1 - No change","2","3","2","2","4","2","Fit-confidence digest","No","A reminder days later, once the impulse fades, would test if I really want it."
"2026/08/29 7:15:04 PM GMT+5:30","Tier 2 (e.g. Nagpur, Indore, Coimbatore, Bhopal, Vadodara)","25-34","Yes","30+","I added it just to save the look/style for later, not to buy it","I pin things to see how colors would work together before deciding.","Seeing a full outfit bundle discount once got me to buy two pieces.","About half","Clothing","Weekly or more","No","","2","1 - No change","3","1 - No change","5 - Would buy almost immediately","2","3","Ask-friends share feature","No","A friend telling me the outfit actually works would push me to buy it."
